DATE,AluminumPM2.5LC,AmbientMaxTemperature,AmbientMinTemperature,AmbientTemperature,AmmoniumIonPM2.5LC,AntimonyPM2.5LC,ArsenicPM2.5LC,BariumPM2.5LC,BrominePM2.5LC,CadmiumPM2.5LC,CalciumPM2.5LC,CarbonateCarbonCSNPM2.5LCTOT,CeriumPM2.5LC,CesiumPM2.5LC,ChlorinePM2.5LC,ChromiumPM2.5LC,CobaltPM2.5LC,CopperPM2.5LC,EC1CSN_RevUnadjustedPM2.5LC,EC2CSN_RevUnadjustedPM2.5LC,EC3CSN_RevUnadjustedPM2.5LC,ECCSN_RevUnadjustedPM2.5LCTOR,ECCSN_RevUnadjustedPM2.5LCTOT,ECCSNPM2.5LCTOT,EuropiumPM2.5LC,GalliumPM2.5LC,GoldPM2.5LC,HafniumPM2.5LC,IndiumPM2.5LC,IridiumPM2.5LC,IronPM2.5LC,LanthanumPM2.5LC,LeadPM2.5LC,MagnesiumPM2.5LC,ManganesePM2.5LC,MercuryPM2.5LC,MolybdenumPM2.5LC,NickelPM2.5LC,NiobiumPM2.5LC,OC1CSN_RevUnadjustedPM2.5LC,OC1CSNUnadjustedPM2.5LCTOT,OC2CSN_RevUnadjustedPM2.5LC,OC2CSNUnadjustedPM2.5LCTOT,OC3CSN_RevUnadjustedPM2.5LC,OC3CSNUnadjustedPM2.5LCTOT,OC4CSN_RevUnadjustedPM2.5LC,OC4CSNUnadjustedPM2.5LCTOT,OCCSN_RevUnadjustedPM2.5LCTOR,OCCSN_RevUnadjustedPM2.5LCTOT,OCCSNUnadjustedPM2.5LCTOT,OPCSN_RevUnadjustedPM2.5LCTOR,OPCSN_RevUnadjustedPM2.5LCTOT,OPCSNPM2.5LCTOT,PhosphorusPM2.5LC,PotassiumIonPM2.5LC,PotassiumPM2.5LC,RubidiumPM2.5LC,SamariumPM2.5LC,SampleBaroPressure,SampleMaxBaroPressure,SampleMinBaroPressure,ScandiumPM2.5LC,SeleniumPM2.5LC,SiliconPM2.5LC,SilverPM2.5LC,SodiumIonPm2.5LC,SodiumPM2.5LC,StrontiumPM2.5LC,SulfatePM2.5LC,SulfurPM2.5LC,TantalumPM2.5LC,TerbiumPM2.5LC,TinPM2.5LC,TitaniumPM2.5LC,TotalNitratePM2.5LC,TungstenPM2.5LC,VanadiumPM2.5LC,YttriumPM2.5LC,ZincPM2.5LC,ZirconiumPM2.5LC
1/11/2011,NA,1.5,-1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756,758,754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/12/2011,0,3.1,-3.466666667,-0.5,1.51,0,0.001,0,0.0033,0,0.0098,NA,0,0,0.005,0,0,0,0.608,0.0345,0.00037,0.274,0.125,NA,NA,NA,NA,NA,0,NA,0.0242,NA,0,0,0.001,NA,NA,0.001,NA,0.138,NA,0.421,NA,0.442,NA,0.343,NA,1.71,1.86,NA,0.37,0.518,NA,0,0.053,0.038,0,NA,758,760.6666667,753.6666667,NA,0,0.011,0,0.02,0.046,0,3.31,1.1,NA,NA,0,0,1.34,NA,0,NA,0.0036,0
1/13/2011,NA,4.6,-5.4,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762,764,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/14/2011,NA,8.8,-5.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762,764,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/15/2011,0.014,11.875,-4.05,3.4,1.08,0,0.001,0.001,0.0206,0,0.0163,NA,0,0,0.0314,0.003,0,0.0096,1.81,0.0448,0,1.86,0.813,NA,NA,NA,NA,NA,0,NA,0.11,NA,0,0,0.003,NA,NA,0,NA,0.472,NA,0.937,NA,1.49,NA,0.981,NA,3.88,4.93,NA,0,1.04,NA,0,0.111,0.106,0,NA,759.3333333,762,755.25,NA,0.001,0.05,0.001,0.08,0.024,0,1.95,0.662,NA,NA,0,0.002,1.82,NA,0,NA,0.0127,0
1/16/2011,NA,16.3,-0.3,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755,756,753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/17/2011,NA,10.7,1.1,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,753,755,749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/18/2011,0.074,7.333333333,2.766666667,5.2,3.71,0.022,0.001,0,0.0766,0,0.007,NA,0,0,0.0181,0.001,0.001,0,1.58,0.0208,0,0.695,0.257,NA,NA,NA,NA,NA,0,NA,0.0366,NA,0.004,0,0,NA,NA,0,NA,0.273,NA,0.743,NA,0.707,NA,0.741,NA,3.37,3.8,NA,0.902,1.34,NA,0,0.1,0.089,0,NA,749,750.6666667,748,NA,0.002,0.007,0.007,0.08,0.003,0.002,4.74,1.64,NA,NA,0.012,0,4.62,NA,0,NA,0.0088,0
1/19/2011,NA,15.8,7.1,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,753,747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/20/2011,NA,15.7,2.3,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,755,747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/21/2011,0.043,10.125,0.075,5.75,0.633,0.029,0,0,0.0087,0.001,0.003,NA,0.002,0,0,0,0.001,0.002,0.5,0.0505,0,0.277,0.163,NA,NA,NA,NA,NA,0,NA,0.0646,NA,0,0,0,NA,NA,0,NA,0.076,NA,0.313,NA,0.32,NA,0.21,NA,1.19,1.31,NA,0.273,0.387,NA,0,0.026,0.027,0,NA,749.3333333,752,746.75,NA,0.001,0.074,0,0.02,0.001,0.002,1.66,0.546,NA,NA,0,0.005,0.387,NA,0,NA,0.002,0
1/22/2011,NA,6.9,-2.1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,752,748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/23/2011,NA,8.9,-4.3,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755,759,751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/24/2011,0.031,12.3,-0.2,5,1.45,0,0.001,0,0.0073,0,0.0235,NA,0,0,0.0242,0,0,0.0047,1.39,0.0331,0,1.35,0.554,NA,NA,NA,NA,NA,0,NA,0.0661,NA,0.009,0,0,NA,NA,0.001,NA,0.469,NA,0.968,NA,1.52,NA,1.15,NA,4.18,4.97,NA,0.071,0.864,NA,0,0.095,0.097,0,NA,759,761.3333333,757,NA,0.002,0.041,0,0.05,0.004,0,2.14,0.724,NA,NA,0,0.002,2.47,NA,0.001,NA,0.01,0
1/25/2011,NA,10.3,2.5,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754,759,747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/26/2011,NA,10.6,4.3,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,746,751,742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/27/2011,0.039,10.8,-1.75,4.433333333,1.9,0,0,0,0.0393,0,0.0147,NA,0,0,0.0097,0.002,0.001,0.005,0.972,0.0543,0,0.636,0.255,NA,NA,NA,NA,NA,0.001,NA,0.0648,NA,0.002,0,0,NA,NA,0,NA,0.188,NA,0.609,NA,0.457,NA,0.463,NA,2.11,2.49,NA,0.39,0.771,NA,0,0.072,0.043,0,NA,752.3333333,755,750.75,NA,0.001,0.014,0,0.01,0,0,4.42,1.49,NA,NA,0,0.002,1.73,NA,0,NA,0.0069,0.0051
1/28/2011,NA,16.7,0.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749,752,747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/29/2011,NA,20.1,0.1,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,753,756,751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/30/2011,0.014,22.76666667,5.366666667,13.75,0.694,0,0.001,0,0.0159,0.009,0.0256,NA,0,0,0.0193,0.001,0,0.003,2.39,0.0331,0,1.61,0.777,NA,NA,NA,NA,NA,0,NA,0.0577,NA,0.002,0,0.001,NA,NA,0,NA,0.725,NA,1.39,NA,2.25,NA,1.06,NA,6.23,7.07,NA,0.811,1.65,NA,0,0.136,0.142,0,NA,753.5,755.3333333,751.6666667,NA,0,0.059,0,0.07,0.023,0,1.63,0.595,NA,NA,0,0,0.644,NA,0,NA,0.0144,0
1/31/2011,NA,13.3,7.2,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757,760,754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/1/2011,NA,13.8,5.7,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755,759,749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/2/2011,0.041,19.075,7.275,14.36666667,0.488,0,0.003,0,0.0064,0,0.0134,NA,0,0,0.003,0.001,0,0.002,0.547,0.0374,0,0.258,0.15,NA,NA,NA,NA,NA,0,NA,0.0285,NA,0,0,0,NA,NA,0,NA,0.056,NA,0.302,NA,0.292,NA,0.245,NA,1.22,1.33,NA,0.326,0.434,NA,0,0,0.022,0,NA,753.3333333,758.75,748.75,NA,0.001,0.022,0,0.04,0.022,0,1.88,0.543,NA,NA,0,0,0.215,NA,0.002,NA,0.001,0
2/3/2011,NA,9.1,4.3,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,761,763,756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/4/2011,NA,4.5,1.7,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757,762,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/5/2011,0,10.13333333,2.833333333,6.1,0.324,0,0,0,0.001,0,0.002,NA,0,0,0.002,0,0,0,0.445,0.05,0,0.235,0.137,NA,NA,NA,NA,NA,0.001,NA,0.0246,NA,0,0,0,NA,NA,0,NA,0.069,NA,0.258,NA,0.325,NA,0.175,NA,1.09,1.18,NA,0.26,0.358,NA,0,0,0.02,0.001,NA,748.5,753,746,NA,0,0.01,0,0.02,0,0.001,0.88,0.297,NA,NA,0.016,0,0.493,NA,0,NA,0.002,0
2/6/2011,NA,16.3,0.4,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752,754,749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/7/2011,NA,9.3,0.8,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,754,746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/8/2011,0.041,12.325,1.6,6.833333333,0.617,0,0,0,0.0042,0,0.0048,NA,0,0,0.002,0.001,0.0012,0.002,0.518,0.0326,0,0.288,0.144,NA,NA,NA,NA,NA,0,NA,0.0486,NA,0,0,0.001,NA,NA,0.001,NA,0.066,NA,0.288,NA,0.288,NA,0.184,NA,1.09,1.23,NA,0.263,0.407,NA,0,0,0.0201,0,NA,754.3333333,759.5,747.5,NA,0,0,0,0.02,0,0,1.54,0.514,NA,NA,0,0,0.637,NA,0.001,NA,0,0
2/9/2011,NA,11.6,-1.3,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757,761,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/10/2011,NA,11.9,2,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754,757,751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/11/2011,0.004,11.43333333,-3.233333333,3.766666667,1.42,0,0,0,0.0033,0,0.0124,NA,0,0,0.0106,0,0.0018,0,1.21,0.04,0,0.797,0.509,NA,NA,NA,NA,NA,0,NA,0.0669,NA,0.001,0,0,NA,NA,0.001,NA,0.318,NA,0.589,NA,0.662,NA,0.658,NA,2.67,2.96,NA,0.448,0.736,NA,0,0.07,0.052,0,NA,755.3333333,758,754,NA,0,0.039,0,0.03,0.055,0,2.76,0.982,NA,NA,0,0,1.6,NA,0,NA,0.0073,0
2/12/2011,NA,14.7,0.3,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757,760,755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/13/2011,NA,18.9,-0.5,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,758,761,756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/14/2011,0.032,22.025,5.175,14,0.617,0,0,0,0.0085,0,0.0228,NA,0,0,0.004,0,0.001,0.001,1.52,0.0559,0,0.883,0.401,NA,NA,NA,NA,NA,0,NA,0.0376,NA,0.003,0.005,0.001,NA,NA,0.001,NA,0.183,NA,0.702,NA,0.885,NA,0.619,NA,3.09,3.57,NA,0.697,1.18,NA,0,0.066,0.0743,0,NA,754.3333333,757.5,750.5,NA,0,0.048,0,0.02,0.042,0,1.49,0.492,NA,NA,0.001,0,0.344,NA,0.002,NA,0.003,0
